client_id,variation,variation_clean,is_test
9988021,test,test,True
8320017,test,test,True
4033851,control,control,False
1982004,test,test,True
9294070,control,control,False
9466803,test,test,True
3170143,test,test,True
6651403,control,control,False
5887227,test,test,True
2105948,control,control,False
438567,test,test,True
2519971,test,test,True
9814849,control,control,False
5407849,test,test,True
7286739,control,control,False
4446011,control,control,False
5308474,test,test,True
2991219,test,test,True
2354414,test,test,True
949210,test,test,True
4229407,control,control,False
9987707,test,test,True
2709011,test,test,True
4507502,test,test,True
2842481,control,control,False
2317698,test,test,True
3013805,test,test,True
1218661,control,control,False
2965703,test,test,True
1712929,control,control,False
2328234,test,test,True
800925,control,control,False
6685654,test,test,True
8766054,test,test,True
4726500,test,test,True
9504867,test,test,True
1242238,control,control,False
7800773,test,test,True
9477476,control,control,False
1338778,control,control,False
6584990,control,control,False
7859827,test,test,True
7407692,test,test,True
7040762,control,control,False
9900469,test,test,True
5169372,control,control,False
5267250,control,control,False
2079440,test,test,True
5376894,test,test,True
3751049,control,control,False
8240010,test,test,True
6110816,test,test,True
2550129,test,test,True
9912156,control,control,False
7690370,test,test,True
9885354,test,test,True
1962381,test,test,True
229701,control,control,False
2818303,control,control,False
6229916,test,test,True
9358626,control,control,False
4773291,control,control,False
4953263,control,control,False
522661,test,test,True
3754789,control,control,False
3066535,control,control,False
9545426,control,control,False
4778144,control,control,False
2000786,control,control,False
1532932,test,test,True
9096386,test,test,True
6986475,control,control,False
7996704,control,control,False
2211277,test,test,True
9268841,test,test,True
4213800,control,control,False
1763518,control,control,False
7485024,test,test,True
2437471,control,control,False
1628554,test,test,True
9744906,test,test,True
7289266,control,control,False
3883711,test,test,True
8123801,test,test,True
598943,control,control,False
8491121,test,test,True
8861901,control,control,False
6853744,control,control,False
1404893,control,control,False
768936,test,test,True
5408845,test,test,True
9336495,control,control,False
4744361,control,control,False
2397739,test,test,True
2136502,test,test,True
7501437,test,test,True
9628154,control,control,False
9293919,control,control,False
5318449,test,test,True
5022038,test,test,True
2565373,control,control,False
5745157,test,test,True
6653427,test,test,True
6071019,control,control,False
632316,test,test,True
1152171,test,test,True
8188670,control,control,False
1021747,test,test,True
226198,test,test,True
6216233,control,control,False
1846219,test,test,True
2093449,test,test,True
7902892,test,test,True
722917,test,test,True
4747144,control,control,False
2199722,test,test,True
2235331,test,test,True
8313694,control,control,False
2382696,test,test,True
2679453,control,control,False
7276973,control,control,False
